line,p50_delay_sec,p90_delay_sec,p95_delay_sec,avg_delay_sec,n
E,60,60,60,60.0,131
H,60,60,60,60.0,17
Lokalbane 960R,60,60,60,60.0,14
Re 1055,60,60,60,60.0,12
Re 1069,60,60,60,60.0,6
Re 1065,60,60,60,60.0,4
Re 1058,60,60,60,60.0,3
Re 1541,60,60,60,60.0,3
Re 226,60,60,60,60.0,3
Re 2522,60,60,60,60.0,3
A,60,60,120,65.24,126
Re 1057,60,120,120,69.23,13
F,60,120,120,69.73,37
IC 145,60,120,120,75.0,4
Re 4222,60,120,120,75.0,4
Re 4243,60,120,120,75.0,4
Re 1067,60,120,120,80.0,6
Re 4449,60,120,120,80.0,3
Re 1063,60,120,120,84.0,10
Re 1068,60,120,120,90.0,4
Re 4549,60,120,120,90.0,4
Re 2424,120,120,120,102.86,7
Re 1056,120,120,120,120.0,3
Re 4226,120,120,120,120.0,3
C,60,180,180,80.3,266
Re 1047,60,180,180,94.29,7
Re 2241,120,180,180,114.55,11
Re 1054,120,180,180,140.0,3
Re 2249,180,180,180,140.0,3
B,60,180,240,102.0,330
Re 1528,60,240,240,120.0,4
Re 2220,120,240,240,150.0,6
Re 4524,120,240,240,165.0,4
Re 4218,180,240,240,180.0,6
Re 4422,60,240,300,114.55,11
Re 4426,60,300,300,130.0,6
Re 2518,240,300,300,210.0,6
Re 1061,240,300,300,252.0,10
Re 1049,300,300,300,274.29,7
Re 1045,300,300,300,300.0,3
IC 141,240,360,360,265.71,7
Re 1059,480,480,480,480.0,4
Re 4541,540,660,660,437.14,21
Re 4516,600,780,780,588.0,5
